Training Log for attention_cnn
Started at: 2025-10-02 06:11:17
Max Epochs: 300 | Patience: 50
================================================================================

Epoch [  1/300] | Train Loss: 4.7787 | Train Acc: 20.78% | Val Loss: 4.3844 | Val Acc: 25.34% | LR: 0.000100
Epoch [  2/300] | Train Loss: 4.2533 | Train Acc: 23.36% | Val Loss: 3.7000 | Val Acc: 30.65% | LR: 0.000280
Epoch [  3/300] | Train Loss: 3.6428 | Train Acc: 28.82% | Val Loss: 3.1802 | Val Acc: 39.90% | LR: 0.000460
Epoch [  4/300] | Train Loss: 3.1598 | Train Acc: 37.39% | Val Loss: 2.4882 | Val Acc: 59.29% | LR: 0.000640
Epoch [  5/300] | Train Loss: 2.7831 | Train Acc: 47.30% | Val Loss: 2.0858 | Val Acc: 75.80% | LR: 0.000820
Epoch [  6/300] | Train Loss: 2.4815 | Train Acc: 56.61% | Val Loss: 1.8786 | Val Acc: 79.22% | LR: 0.001000
Epoch [  7/300] | Train Loss: 2.2105 | Train Acc: 65.81% | Val Loss: 1.9044 | Val Acc: 76.34% | LR: 0.001000
Epoch [  8/300] | Train Loss: 2.0111 | Train Acc: 72.70% | Val Loss: 1.4944 | Val Acc: 92.14% | LR: 0.001000
Epoch [  9/300] | Train Loss: 1.8715 | Train Acc: 77.53% | Val Loss: 1.3890 | Val Acc: 94.58% | LR: 0.001000
Epoch [ 10/300] | Train Loss: 1.7756 | Train Acc: 80.75% | Val Loss: 1.4215 | Val Acc: 93.21% | LR: 0.001000
Epoch [ 11/300] | Train Loss: 1.7003 | Train Acc: 83.56% | Val Loss: 1.3260 | Val Acc: 95.53% | LR: 0.001000
Epoch [ 12/300] | Train Loss: 1.6364 | Train Acc: 85.36% | Val Loss: 1.2634 | Val Acc: 97.91% | LR: 0.001000
Epoch [ 13/300] | Train Loss: 1.5860 | Train Acc: 87.56% | Val Loss: 1.2356 | Val Acc: 97.98% | LR: 0.001000
Epoch [ 14/300] | Train Loss: 1.5652 | Train Acc: 87.99% | Val Loss: 1.1843 | Val Acc: 99.03% | LR: 0.001000
Epoch [ 15/300] | Train Loss: 1.5329 | Train Acc: 89.21% | Val Loss: 1.1837 | Val Acc: 98.74% | LR: 0.001000
Epoch [ 16/300] | Train Loss: 1.5041 | Train Acc: 90.32% | Val Loss: 1.1487 | Val Acc: 99.26% | LR: 0.001000
Epoch [ 17/300] | Train Loss: 1.4784 | Train Acc: 90.96% | Val Loss: 1.1635 | Val Acc: 98.92% | LR: 0.001000
Epoch [ 18/300] | Train Loss: 1.4651 | Train Acc: 91.32% | Val Loss: 1.1299 | Val Acc: 99.50% | LR: 0.001000
Epoch [ 19/300] | Train Loss: 1.4568 | Train Acc: 91.30% | Val Loss: 1.1432 | Val Acc: 99.46% | LR: 0.001000
Epoch [ 20/300] | Train Loss: 1.4296 | Train Acc: 92.44% | Val Loss: 1.1325 | Val Acc: 99.55% | LR: 0.001000
Epoch [ 21/300] | Train Loss: 1.4194 | Train Acc: 92.71% | Val Loss: 1.1130 | Val Acc: 99.84% | LR: 0.001000
Epoch [ 22/300] | Train Loss: 1.4121 | Train Acc: 92.83% | Val Loss: 1.2019 | Val Acc: 97.69% | LR: 0.001000
Epoch [ 23/300] | Train Loss: 1.4040 | Train Acc: 93.14% | Val Loss: 1.1466 | Val Acc: 98.95% | LR: 0.001000
Epoch [ 24/300] | Train Loss: 1.3890 | Train Acc: 93.77% | Val Loss: 1.1088 | Val Acc: 99.75% | LR: 0.001000
Epoch [ 25/300] | Train Loss: 1.3925 | Train Acc: 93.27% | Val Loss: 1.1678 | Val Acc: 98.49% | LR: 0.001000
Epoch [ 26/300] | Train Loss: 1.3732 | Train Acc: 94.10% | Val Loss: 1.1189 | Val Acc: 99.53% | LR: 0.001000
Epoch [ 27/300] | Train Loss: 1.3633 | Train Acc: 94.55% | Val Loss: 1.0839 | Val Acc: 99.86% | LR: 0.001000
Epoch [ 28/300] | Train Loss: 1.3619 | Train Acc: 94.34% | Val Loss: 1.1241 | Val Acc: 99.50% | LR: 0.001000
Epoch [ 29/300] | Train Loss: 1.3545 | Train Acc: 94.66% | Val Loss: 1.0884 | Val Acc: 99.77% | LR: 0.001000
Epoch [ 30/300] | Train Loss: 1.3482 | Train Acc: 94.83% | Val Loss: 1.0951 | Val Acc: 99.78% | LR: 0.001000
Epoch [ 31/300] | Train Loss: 1.3500 | Train Acc: 94.77% | Val Loss: 1.1047 | Val Acc: 99.87% | LR: 0.001000
Epoch [ 32/300] | Train Loss: 1.3387 | Train Acc: 95.10% | Val Loss: 1.1163 | Val Acc: 99.80% | LR: 0.001000
Epoch [ 33/300] | Train Loss: 1.3291 | Train Acc: 95.32% | Val Loss: 1.0971 | Val Acc: 99.91% | LR: 0.001000
Epoch [ 34/300] | Train Loss: 1.3368 | Train Acc: 95.06% | Val Loss: 1.0843 | Val Acc: 99.96% | LR: 0.001000
Epoch [ 35/300] | Train Loss: 1.3308 | Train Acc: 95.30% | Val Loss: 1.0718 | Val Acc: 99.87% | LR: 0.001000
Epoch [ 36/300] | Train Loss: 1.3263 | Train Acc: 95.43% | Val Loss: 1.0879 | Val Acc: 99.86% | LR: 0.001000
Epoch [ 37/300] | Train Loss: 1.3214 | Train Acc: 95.63% | Val Loss: 1.0670 | Val Acc: 99.95% | LR: 0.001000
Epoch [ 38/300] | Train Loss: 1.3174 | Train Acc: 95.61% | Val Loss: 1.0833 | Val Acc: 99.89% | LR: 0.001000
Epoch [ 39/300] | Train Loss: 1.3200 | Train Acc: 95.57% | Val Loss: 1.0772 | Val Acc: 99.95% | LR: 0.001000
Epoch [ 40/300] | Train Loss: 1.3082 | Train Acc: 95.95% | Val Loss: 1.0681 | Val Acc: 99.93% | LR: 0.001000
Epoch [ 41/300] | Train Loss: 1.3124 | Train Acc: 95.77% | Val Loss: 1.0667 | Val Acc: 99.82% | LR: 0.001000
Epoch [ 42/300] | Train Loss: 1.3076 | Train Acc: 95.85% | Val Loss: 1.0570 | Val Acc: 99.91% | LR: 0.001000
Epoch [ 43/300] | Train Loss: 1.3034 | Train Acc: 96.01% | Val Loss: 1.0913 | Val Acc: 99.59% | LR: 0.001000
Epoch [ 44/300] | Train Loss: 1.3029 | Train Acc: 96.05% | Val Loss: 1.0465 | Val Acc: 99.96% | LR: 0.001000
Epoch [ 45/300] | Train Loss: 1.2990 | Train Acc: 96.02% | Val Loss: 1.0683 | Val Acc: 99.89% | LR: 0.001000
Epoch [ 46/300] | Train Loss: 1.2202 | Train Acc: 97.98% | Val Loss: 1.0346 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 47/300] | Train Loss: 1.1991 | Train Acc: 98.51% | Val Loss: 1.0284 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 48/300] | Train Loss: 1.1967 | Train Acc: 98.58% | Val Loss: 1.0230 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 49/300] | Train Loss: 1.1903 | Train Acc: 98.61% | Val Loss: 1.0175 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 50/300] | Train Loss: 1.1924 | Train Acc: 98.58% | Val Loss: 1.0130 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 51/300] | Train Loss: 1.1881 | Train Acc: 98.57% | Val Loss: 1.0172 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 52/300] | Train Loss: 1.1862 | Train Acc: 98.68% | Val Loss: 1.0129 | Val Acc: 99.98% | LR: 0.000300
Epoch [ 53/300] | Train Loss: 1.1876 | Train Acc: 98.66% | Val Loss: 1.0161 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 54/300] | Train Loss: 1.1840 | Train Acc: 98.52% | Val Loss: 1.0189 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 55/300] | Train Loss: 1.1833 | Train Acc: 98.71% | Val Loss: 1.0116 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 56/300] | Train Loss: 1.1840 | Train Acc: 98.78% | Val Loss: 1.0195 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 57/300] | Train Loss: 1.1829 | Train Acc: 98.75% | Val Loss: 1.0106 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 58/300] | Train Loss: 1.1574 | Train Acc: 99.12% | Val Loss: 1.0078 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 59/300] | Train Loss: 1.1494 | Train Acc: 99.26% | Val Loss: 1.0042 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 60/300] | Train Loss: 1.1442 | Train Acc: 99.39% | Val Loss: 1.0062 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 61/300] | Train Loss: 1.1454 | Train Acc: 99.30% | Val Loss: 1.0032 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 62/300] | Train Loss: 1.1432 | Train Acc: 99.29% | Val Loss: 1.0027 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 63/300] | Train Loss: 1.1426 | Train Acc: 99.39% | Val Loss: 0.9993 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 64/300] | Train Loss: 1.1418 | Train Acc: 99.35% | Val Loss: 1.0023 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 65/300] | Train Loss: 1.1402 | Train Acc: 99.37% | Val Loss: 0.9991 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 66/300] | Train Loss: 1.1398 | Train Acc: 99.33% | Val Loss: 0.9975 | Val Acc: 100.00% | LR: 0.000090
